seq,i,CUMGPA,value
41,1,<2,0
41,2,2to3,0
41,3,2to3,0
41,4,2to3,0
41,5,grad,50
42,1,<2,0
42,2,2to3,0
42,3,2to3,0
42,4,2to3,0
42,5,not enroll,0
42,6,not enroll,4
43,1,<2,0
43,2,2to3,0
43,3,2to3,0
43,4,<2,0
43,5,not enroll,0
43,6,not enroll,5
44,1,<2,0
44,2,2to3,0
44,3,2to3,0
44,4,>=3,0
44,5,grad,4
45,1,<2,0
45,2,2to3,0
45,3,2to3,0
45,4,grad,2
46,1,<2,0
46,2,2to3,0
46,3,2to3,0
46,4,not enroll,0
46,5,not enroll,0
46,6,not enroll,9
47,1,<2,0
47,2,2to3,0
47,3,<2,0
47,4,<2,0
47,5,not enroll,0
47,6,not enroll,2
48,1,<2,0
48,2,2to3,0
48,3,<2,0
48,4,not enroll,0
48,5,not enroll,0
48,6,not enroll,10
49,1,<2,0
49,2,2to3,0
49,3,>=3,0
49,4,2to3,0
49,5,grad,3
50,1,<2,0
50,2,2to3,0
50,3,>=3,0
50,4,>=3,0
50,5,grad,12
51,1,<2,0
51,2,2to3,0
51,3,not enroll,0
51,4,2to3,0
51,5,not enroll,0
51,6,not enroll,1
52,1,<2,0
52,2,2to3,0
52,3,not enroll,0
52,4,not enroll,0
52,5,not enroll,0
52,6,not enroll,26
53,1,<2,0
53,2,<2,0
53,3,2to3,0
53,4,2to3,0
53,5,grad,4
54,1,<2,0
54,2,<2,0
54,3,2to3,0
54,4,2to3,0
54,5,not enroll,0
54,6,not enroll,2
55,1,<2,0
55,2,<2,0
55,3,2to3,0
55,4,<2,0
55,5,not enroll,0
55,6,not enroll,3
56,1,<2,0
56,2,<2,0
56,3,2to3,0
56,4,not enroll,0
56,5,not enroll,0
56,6,not enroll,2
57,1,<2,0
57,2,<2,0
57,3,<2,0
57,4,not enroll,0
57,5,not enroll,0
57,6,not enroll,23
58,1,<2,0
58,2,<2,0
58,3,not enroll,0
58,4,<2,0
58,5,not enroll,0
58,6,not enroll,4
59,1,<2,0
59,2,<2,0
59,3,not enroll,0
59,4,not enroll,0
59,5,not enroll,0
59,6,not enroll,58
60,1,<2,0
60,2,>=3,0
60,3,2to3,0
60,4,2to3,0
60,5,grad,1
61,1,<2,0
61,2,>=3,0
61,3,2to3,0
61,4,2to3,0
61,5,not enroll,0
61,6,not enroll,2
62,1,<2,0
62,2,>=3,0
62,3,2to3,0
62,4,>=3,0
62,5,grad,1
63,1,<2,0
63,2,>=3,0
63,3,2to3,0
63,4,not enroll,0
63,5,not enroll,0
63,6,not enroll,1
64,1,<2,0
64,2,>=3,0
64,3,>=3,0
64,4,2to3,0
64,5,grad,1
65,1,<2,0
65,2,>=3,0
65,3,>=3,0
65,4,>=3,0
65,5,grad,23
66,1,<2,0
66,2,>=3,0
66,3,>=3,0
66,4,grad,1
67,1,<2,0
67,2,>=3,0
67,3,>=3,0
67,4,not enroll,0
67,5,grad,1
68,1,<2,0
68,2,>=3,0
68,3,>=3,0
68,4,not enroll,0
68,5,not enroll,0
68,6,not enroll,1
69,1,<2,0
69,2,>=3,0
69,3,not enroll,0
69,4,not enroll,0
69,5,not enroll,0
69,6,not enroll,3
70,1,<2,0
70,2,not enroll,0
70,3,2to3,0
70,4,2to3,0
70,5,grad,1
71,1,<2,0
71,2,not enroll,0
71,3,2to3,0
71,4,2to3,0
71,5,not enroll,0
71,6,not enroll,1
72,1,<2,0
72,2,not enroll,0
72,3,<2,0
72,4,2to3,0
72,5,not enroll,0
72,6,not enroll,1
73,1,<2,0
73,2,not enroll,0
73,3,<2,0
73,4,<2,0
73,5,not enroll,0
73,6,not enroll,2
74,1,<2,0
74,2,not enroll,0
74,3,<2,0
74,4,not enroll,0
74,5,not enroll,0
74,6,not enroll,6
75,1,<2,0
75,2,not enroll,0
75,3,>=3,0
75,4,>=3,0
75,5,grad,2
76,1,<2,0
76,2,not enroll,0
76,3,not enroll,0
76,4,2to3,0
76,5,not enroll,0
76,6,not enroll,1
77,1,<2,0
77,2,not enroll,0
77,3,not enroll,0
77,4,<2,0
77,5,not enroll,0
77,6,not enroll,3
78,1,<2,0
78,2,not enroll,0
78,3,not enroll,0
78,4,>=3,0
78,5,not enroll,0
78,6,not enroll,1
79,1,<2,0
79,2,not enroll,0
79,3,not enroll,0
79,4,not enroll,0
79,5,not enroll,0
79,6,not enroll,195
